file,account,line,GL_ex_GST,invoice_incl_GST,note,sha256
Evidence/NA7B214_E01_RodentControl_Marsden_Feb-2026.xlsx,1-20151-7B214,IJ074028 17-Feb-2026,82.50,n/a internal oncharge,"Rodent control half hour 3-Feb-2026 Marsden depot, exact match",639e6364ed41070a9ccc4adacca1cc9517c28d2a813a72b156cde0f2ce83b201
Evidence/NA7B214_E02_Durant_Email_05-Feb-2026.msg,1-20151-7B214,IJ074028 17-Feb-2026,,,"Covering email, Durant (CSL Pest Management) to CSL Finance",1af3aef1aeb2848604705c53839d9922bea0f8200707991bc73dd758fbf3d204
