file,account,line,sha256,gl_ex_gst,invoice_incl_gst,status
NA73128_L15_TCB_INV-398238.pdf,73128,L15,dbc35771a9c669c2403c306f0d3414ab6921fdc6830798d07e0c17855e8b15bd,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L16_TCB_INV-398437.pdf,73128,L16,51f22ec0574c312185eae13110ad7c8c0513b9c16b86cf9fcf9166266155c305,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,"L17,L18",,18.41,20.25,NOT INDIVIDUALLY HELD - invoice 398653 absent from this binder
(in first intake; not in SecondIntake binder),73128,"L19,L20",,19.04,20.94,NOT INDIVIDUALLY HELD - invoice 398878 absent from this binder
(in first intake; not in SecondIntake binder),73128,L21,,44.46,48.91,NOT INDIVIDUALLY HELD - invoice 399080 absent from this binder
(in first intake; not in SecondIntake binder),73128,L22,,38.09,41.88,NOT INDIVIDUALLY HELD - invoice 399291 absent from this binder
(in first intake; not in SecondIntake binder),73128,L23,,35.45,35.45,NOT INDIVIDUALLY HELD - invoice 399504 absent from this binder
NA73128_L24_TCB_INV-399704.pdf,73128,L24,f7dc003bebe6bad7fbca1ade904bf3c3a188818d497afca313fbb587ba051136,49.61,49.61,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L25,,21.24,21.24,NOT INDIVIDUALLY HELD - invoice 399905 absent from this binder
(in first intake; not in SecondIntake binder),73128,L26,,49.61,49.61,NOT INDIVIDUALLY HELD - invoice 400102 absent from this binder
NA73128_L27_TCB_INV-400319.pdf,73128,L27,53365403fd23cc552c61a7b7a6f311ec31d880b34948d5e0730e42838db312d4,49.61,49.61,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L28,,28.37,28.37,NOT INDIVIDUALLY HELD - invoice 400534 absent from this binder
(in first intake; not in SecondIntake binder),73128,L29,,49.61,49.61,NOT INDIVIDUALLY HELD - invoice 400742 absent from this binder
(in first intake; not in SecondIntake binder),73128,L30,,28.37,28.37,NOT INDIVIDUALLY HELD - invoice 400956 absent from this binder
(in first intake; not in SecondIntake binder),73128,"L31,L32",,49.61,49.61,NOT INDIVIDUALLY HELD - invoice 401158 absent from this binder
NA73128_L33_TCB_INV-401368.pdf,73128,L33,4dd37a4bc195ba38a0d551a8b63528ef5ade46b3f44e5dc62954f9b2009b64d0,49.61,49.61,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L34,,21.24,21.24,NOT INDIVIDUALLY HELD - invoice 401587 absent from this binder
NA73128_L35_TCB_INV-401795.pdf,73128,L35,44713e1834d7f51025082e6c6966b134ab2897e5192ce9f4b249ab931ed4ba62,55.22,55.22,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L36_TCB_INV-401989.pdf,73128,L36,b611d8359fca09751f2bc58088eab174a5d7fe4a086f5e0c0b063562ca95af29,55.2,55.22,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L37_TCB_INV-402190.pdf,73128,L37,8e62f8b7e0142dda58b86db3a406af873ef591a423bdd9e0354fc5152f12374e,42.48,42.48,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L38_TCB_INV-402538.pdf,73128,L38,c28748f3839357d1be81a04b1c03f3e396141479dd84fd250ae06bcc4e062efc,55.22,55.22,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L39_TCB_INV-402728.pdf,73128,L39,dc05d42ebfc44d8b564972c430b9404c3f538217dbc6df52d4f81111fa175791,55.22,55.22,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L40,,14.16,14.16,NOT INDIVIDUALLY HELD - invoice 402917 absent from this binder
NA73128_L41_TCB_INV-403104.pdf,73128,L41,4079b1b879920a2e45a9f9a190f2f69a91725bd1e91b9ad43322a4fb8a9abb36,55.22,55.22,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L42_TCB_INV-403319.pdf,73128,L42,2696850cf76aa209e9ff5b780924e300bf2b2d174b4b9c7a6cc5307604089fe3,14.16,14.16,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L43_ABN_72940549625_Details.pdf,73128,"L43,L49",3cf1aede784ae150e39a8cc3793bd6b99fc531e770c43576073a37a4931c6933,,,SIGHTED SUPPORT
NA73128_L43_ABN_Lookup_Search.pdf,73128,"L43,L49",c8effafd734062325d75825b4529f21a26a9f3106e36d5818ac19c13b71ca8d0,,,SIGHTED SUPPORT
NA73128_L43_QCB_Statement_Nov25_p1.pdf,73128,"L43,L49",211aec03a4605e82344a13d5fb4f7e925a57013674457571d5f11473c6bd5d97,,,SIGHTED SUPPORT
NA73128_L43_QCB_Statement_Nov25_p2.pdf,73128,"L43,L49",21c673bb3960a19ff2fe524209034347ba5a8c556a2162d48078dd7f3cd1afff,,3150.0,SIGHTED SUPPORT
NA73128_L43_RajAggarwal_Bond_Email.msg,73128,"L43,L49",cc926fd6d1b17c4da287454056616ca407f95642c964115a47385ffd050c2bbd,,,SIGHTED SUPPORT
NA73128_L43_RajAggarwal_Bond_EmailChain.pdf,73128,"L43,L49",ccd24189238a01f086644fb2054c1fd453df959cf46eeda6daee6e58e423d541,0.0,3150.0,SIGHTED SUPPORT
NA73128_L44_TCB_INV-403536.pdf,73128,L44,8581d81a333d940513376a8c40beaf18bc37e59b6476d861adaa353cb2182301,55.22,55.22,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L45,,14.16,14.16,NOT INDIVIDUALLY HELD - invoice 403758 absent from this binder
(in first intake; not in SecondIntake binder),73128,L46,,55.22,55.22,NOT INDIVIDUALLY HELD - invoice 403980 absent from this binder
(in first intake; not in SecondIntake binder),73128,"L47,L48",,14.16,14.16,NOT INDIVIDUALLY HELD - invoice 404203 absent from this binder
NA73128_L50_TCB_INV-404405.pdf,73128,L50,ed06f48c10e1dba0679834b9cf7dfda27e5b67d052952ec884c81ce3b6ec310c,55.22,55.22,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L51,,48.85,48.85,NOT INDIVIDUALLY HELD - invoice 404615 absent from this binder
(in first intake; not in SecondIntake binder),73128,L52,,21.24,21.24,NOT INDIVIDUALLY HELD - invoice 404823 absent from this binder
(in first intake; not in SecondIntake binder),73128,L53,,48.85,48.85,NOT INDIVIDUALLY HELD - invoice 405002 absent from this binder
(in first intake; not in SecondIntake binder),73128,L54,,21.24,21.24,NOT INDIVIDUALLY HELD - invoice 405193 absent from this binder
(in first intake; not in SecondIntake binder),73128,L55,,48.85,48.85,NOT INDIVIDUALLY HELD - invoice 405388 absent from this binder
(in first intake; not in SecondIntake binder),73128,L56,,48.85,48.85,NOT INDIVIDUALLY HELD - invoice 405812 absent from this binder
(in first intake; not in SecondIntake binder),73128,L57,,50.99,50.99,NOT INDIVIDUALLY HELD - invoice 406018 absent from this binder
"NA73128_L58,L59_TCB_INV-406431.pdf",73128,"L58,L59",96171b18a6f9412c9d2ac8d7f8642e4956e11f8262304c5990795c0914531856,50.99,50.99,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
"NA73128_L60,L61_TCB_INV-406649.pdf",73128,"L60,L61",1066ed18639b15d051af6bb36e5c2bea2124372cb474fd0c7a1e3dc0a05c2c78,50.99,50.99,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
"NA73128_L62,L63_TCB_INV-406866.pdf",73128,"L62,L63",5285ec0d0ce898ea2e755ad0a2e64d6687646683dbdfbe572670a157a28f7c0b,50.99,50.99,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_SecondIntake_Binder_C00216123.pdf,73128,second intake,b7c4d0b3622daac6a05c95523543e1acb989eebfceaff882db532329ce9e6f69,,,SIGHTED SUPPORT (consolidated second-intake source: 25 TCB invoices + bond refund documents; compressed copy)
NA73128_ABR_TCB_65654974633_10-Jun-2026.pdf,73128,all TCB lines,f74200663751d7ff3f4418f6747d18d0a86fc83b6d5b2cd67dc53fc0d7051c99,,,"SIGHTED SUPPORT (ABR live record 10-Jun-2026: TCB Distributors Pty Ltd active 01-Nov-2021, GST registered, QLD 4129)"
NA73128_Ledger_Extract_10-Jun-2026.xlsx,73128,all,5811884e1b14808a112814d54c657cc5bb2936bb62bf5f130633956099023093,1854.70,,"SIGHTED SUPPORT (TechOne ledger export, 63 lines, account net $1,854.70)"
NA73128_Evidence/NA73128_Mundoolun_RefundSupport_C00216123.pdf,73128,Mundoolun Community Group refund (SEPARATE matter; ABN 72 940 549 625 NOT GST-registered),5b92c82bd92b861646c9458902a69b0c5c896abce54b15693bc73d7de2bf9fe0,,,"SIGHTED - 11 pages (ABR x2, Qld Country Bank statement, email chain Georgia/Aisha/Mundoolun) mis-bundled into the TCB binder; refund/miscellaneous payment, distinct from the TCB milk lines"
