file,account,line,sha256,gl_ex_gst,invoice_incl_gst,status
NA73128_L01_TCB_INV-396217.pdf,73128,L01,ee3c4b1b98513e9c30c0d3688292048c7b4229a48f00d29c76741e39e3030f5b,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L02_TCB_INV-396428.pdf,73128,L02,930802c1d9b7407ec73cc8e10fbd25745e6f512489d9e252b2fc21efc1b96754,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L03_TCB_INV-396633.pdf,73128,L03,bf6a0305f4e76198ffde93e000f9da8ee0acbfad3145a725e81670baacf36924,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L04_TCB_INV-396827.pdf,73128,L04,e274331d5883c5089da7127af0a149e6cbb31adf8db6886cb73d8e82deb96a9b,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L05_TCB_INV-397026.pdf,73128,L05,b9e25f0508c10c57f9f9af8bbe3783c51d66af53b4b5a7453662b7c5a1490123,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L06,,36.82,40.5,NOT INDIVIDUALLY HELD - invoice 397213 absent from this binder
NA73128_L11_TCB_INV-397411.pdf,73128,L11,bad20f5746399e38950f1a9a43a6c142d03f2386b6dce82b6a2f7d0eeb3b9d8b,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L12_TCB_INV-397642.pdf,73128,L12,3663e06ce6c291278e9d4e979a1303f7ac70e3d59fd15cebad1c36ac408308d3,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
NA73128_L13_TCB_INV-397820.pdf,73128,L13,074e30d2ec0bec07a052673f859fb7773c2e877c4ab5a44106e4ae3a8bf06fed,43.05,47.35,"SIGHTED (standalone, re-extracted from binder; GST ERROR - supplier shows $0.00 GST)"
(in first intake; not in SecondIntake binder),73128,L14,,24.55,27.0,NOT INDIVIDUALLY HELD - invoice 398029 absent from this binder
