File,Account,SHA256,Bytes,Note
NA73533_L_Qantas_CTM_TE005128.pdf,73533,92e2bc2a4adb55f2f9b347901e9807fc291091b3c13f9f395602a7a39b0df86a,79375,Airfare+CTM fees $528.30 (TE005128)
NA73533_L_Cabcharge_INV0000315295.pdf,73533,67452f6d02bb68f315acce24d08a7f06e0ad69e48da31a16db52cb695b659b94,190232,Melbourne hotel-to-hotel $60.82
NA73533_L_Uber_ride_detail.jpg,73533,9d7c91ee8dbff24629366b0875e15be6b0cfdc9a4fbfc01eed98e59d4ea75cd9,338656,Uber $137.85 substantiation 1/3
NA73533_L_Uber_activity.jpg,73533,da40fe649a4c3e911da805f5e9c2e90abf5695d6d2fd12bd2fd97c4c97a110a0,444850,Uber $137.85 substantiation 2/3
NA73533_L_Quinn_Bankwest_header.png,73533,1f75e145fc9bf5148b0009011c9ba771fa1eb33fd085abac977de78b72708320,54086,Uber $137.85 substantiation 3/3
NA73533_Travel_Support_Pack.pdf,73533,288ace857c26be29efe5a7aa0f5385d0c2f11f667dbfe31a90b446e8643abd15,2483277,Booking.com hotel $288.18 + approvals
NA73533_Ledger_Extract.xlsx,73533,e76a5a98c227680e9e1a03110e1dcf8db0d9a0561a5bcf3fc69d66d09c8ed9f1,11734,TechOne 73533 ledger export
NA73533_L07_BookingCom_ibis_TE005080.pdf,73533,ce9317107741783b0ce7ad91b482702651e482e6b9d9a4c3a31a668b5eeef4a8,648031,TE005080 hotel backup (Booking.com ibis Melbourne $317 incl). NOT a tax invoice; no ABN; property tax invoice still required for $28.82 GST
